STATE,STATE_SHORT,RESIDENTS,,,,,,,,
Alabama,AL,49.03185,,,,,,,,
Alaska,AK,7.31545,,,,,,,,
Arizona,AZ,72.78717,,,,,,,,
Arkansas,AR,30.17804,,,,,,,,
California,CA,395.12223,,,,,,,,
Colorado,CO,57.58736,,,,,,,,
Connecticut,CT,35.65287,,,,,,,,
Delaware,DE,9.73764,,,,,,,,
Florida,FL,214.77737,,,,,,,,
Georgia,GA,106.17423,,,,,,,,
Hawaii,HI,14.15872,,,,,,,,
Idaho,ID,17.87065,,,,,,,,
Illinois,IL,126.71821,,,,,,,,
Indiana,IN,67.32219,,,,,,,,
Iowa,IA,31.5507,,,,,,,,
Kansas,KS,29.13314,,,,,,,,
Kentucky,KY,44.67673,,,,,,,,
Louisiana,LA,46.48794,,,,,,,,
Maine,ME,13.44212,,,,,,,,
Maryland,MD,60.4568,,,,,,,,
Massachusetts,MA,68.92503,,,,,,,,
Michigan,MI,99.86857,,,,,,,,
Minnesota,MN,56.39632,,,,,,,,
Mississippi,MS,29.76149,,,,,,,,
Missouri,MO,61.37428,,,,,,,,
Montana,MT,10.68778,,,,,,,,
Nebraska,NE,19.34408,,,,,,,,
Nevada,NV,30.80156,,,,,,,,
New Hampshire,NH,13.59711,,,,,,,,
New Jersey,NJ,88.8219,,,,,,,,
New Mexico,NM,20.96829,,,,,,,,
New York,NY,194.53561,,,,,,,,
North Carolina,NC,104.88084,,,,,,,,
North Dakota,ND,7.62062,,,,,,,,
Ohio,OH,116.891,,,,,,,,
Oklahoma,OK,39.56971,,,,,,,,
Oregon,OR,42.17737,,,,,,,,
Pennsylvania,PA,128.01989,,,,,,,,
Rhode Island,RI,10.59361,,,,,,,,
South Carolina,SC,51.48714,,,,,,,,
South Dakota,SD,8.84659,,,,,,,,
Tennessee,TN,68.29174,,,,,,,,
Texas,TX,289.95881,,,,,,,,
Utah,UT,32.05958,,,,,,,,
Vermont,VT,6.23989,,,,,,,,
Virginia,VA,85.35519,,,,,,,,
Washington,WA,76.14893,,,,,,,,
West Virginia,WV,17.92147,,,,,,,,
Wisconsin,WI,58.22434,,,,,,,,
Wyoming,WY,5.78759,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
